day,Eggs,Larvae,Pupae,Adults,Zero Locations
0,5991165.728332,354380.951474,296185.349070,519842,642
1,6775731.862499,374086.254995,249964.268377,502374,1631
2,6715202.195040,374534.257990,222473.471681,478566,2381
3,6244006.458576,369185.813823,224989.357929,453170,3191
4,6562350.178744,371002.929990,221860.058368,431195,3822
5,6759109.084401,372552.943084,214304.061363,410768,4449
6,6712372.761728,374720.922142,223604.644925,392165,4980
7,6434930.613265,369904.537773,229495.233223,377065,5578
8,5918300.505734,358320.340639,226345.502829,365706,6096
9,5925420.545462,357544.297881,234808.352867,353900,6657
10,6224829.318148,363100.889908,244811.181284,345420,7011
11,6135906.060345,363028.048134,254032.174163,339878,7234
12,6058958.494851,360447.279570,254291.623570,335449,7548
13,5995299.232778,357900.900932,248393.449982,332552,7676
14,5939857.931409,355806.554970,241723.747037,329162,7910
15,5845552.915330,355559.474182,245799.290427,324466,8164
16,5716437.767119,353096.669975,251731.471314,321322,8335
17,5598261.484946,351505.265034,261537.738618,319661,8463
18,5525237.932171,348828.772276,262960.004242,319432,8409
19,5520628.984367,351723.147264,283104.617870,319144,8459
20,5521223.475586,351213.455416,292592.718278,322417,8362
21,5499586.993542,351023.153333,301164.391069,327622,8179
22,5734989.040157,354339.797582,300956.661680,332426,7834
23,5723099.518381,353603.676481,291367.865049,337116,7719
24,5809310.967752,354888.095262,285050.559809,339736,7604
25,5855291.770458,357350.054041,291225.252687,340740,7436
26,5922367.097517,359607.249057,297064.323235,342628,7453
27,6234226.271311,367609.831383,315223.456399,345481,7299
28,6214701.116823,368392.145047,323633.114672,350029,6998
29,5869404.174926,362589.083566,331488.336568,356182,6897
30,5926762.506697,361832.542621,330508.034780,362517,6551
31,6210602.248250,365698.201582,326311.110723,367252,6302
32,6369704.570470,369703.979487,331809.099503,370797,6172
33,6453960.939506,374044.634546,343719.811702,375423,5950
34,6296559.079154,372248.734112,353986.382276,381020,5885
35,6183239.813546,365224.945591,326703.040382,388137,5733
36,6160450.640189,365853.470707,315795.107903,389454,5656
37,6634814.822541,375646.438025,322255.702846,388798,5658
38,6672453.973784,380506.726321,343988.193075,389586,5570
39,6275739.129668,371273.850708,333638.549346,393941,5475
40,5953696.121850,363845.175678,322990.471359,396745,5350
41,6239661.603471,362125.883085,281626.248153,396517,5367
42,5767289.810187,360489.096678,294872.284282,390748,5509
43,5388789.718621,347764.101523,273379.889219,387382,5600
44,5287354.890021,338576.938454,239221.752920,380468,5949
45,5990740.061213,345436.314599,207931.313668,368892,6297
46,5982181.166333,347533.022044,188220.762386,354292,6951
47,5994794.757677,343510.993793,165535.145672,339294,7639
48,5964735.162422,345785.098194,164012.294152,321688,8471
49,5826314.935109,341130.460140,157239.308141,306180,9273
50,5707137.091520,342501.995930,165428.665222,292151,10199
51,5636724.974466,343270.222696,179925.864241,279942,11219
52,5319654.099051,337075.988025,187595.411339,272836,11856
53,5173825.177062,337479.270988,211237.421107,267086,12256
54,5150306.303729,338600.155470,235427.750479,266247,12300
55,4987194.960380,335045.400088,248129.455492,269093,11957
56,4944104.832061,332483.834575,253032.430813,273578,11709
57,4979871.572010,331920.925904,254333.215999,277718,11304
58,5216610.640676,335769.172831,247761.708826,282198,10914
59,5274566.575646,337600.334274,248158.702394,284326,10818
60,5485966.571719,342734.823486,246659.549569,286823,10565
61,5381161.651201,343160.498706,253037.433661,288532,10493
62,5265463.092112,341267.052981,256033.647955,291346,10341
63,5221942.313926,338923.969828,255004.630679,294051,10141
64,5411417.836553,342364.088587,255029.894719,295929,10081
65,5406672.295588,344008.970759,261039.239039,298196,10035
66,5293785.566473,341904.915422,261159.079000,301520,9759
67,5237240.579831,339931.852927,258168.131720,303755,9665
68,5271131.740195,338828.686108,249198.547467,305754,9535
69,5377528.123572,340808.317144,243055.565582,306023,9320
70,5576009.347487,344424.930925,239467.812714,304816,9441
71,5465936.074233,345489.805343,245421.262744,303340,9480
72,5440169.875688,341738.408692,236147.197733,302499,9690
73,5151879.691360,334609.083212,223007.574140,301349,9695
74,5310889.587697,335330.558818,212504.551835,297993,9911
75,5250370.882841,335414.582184,208957.287531,293180,10256
76,5014805.706901,329603.403747,205196.130722,288806,10489
77,4967737.118641,328293.451973,204580.341529,283560,10829
78,5166609.910134,329823.438382,196850.115553,279363,11174
79,5036059.319350,330022.926346,200771.260620,274331,11447
80,4889926.617610,327950.217982,208957.846425,270734,11817
81,4776199.788141,327149.313690,221528.404948,268498,11988
82,4841202.322606,326691.298669,223187.076086,269258,12026
83,4709448.700831,323575.411664,222778.316247,269866,11996
84,4941974.698221,327263.145418,221812.812971,270328,11914
85,4918655.315282,327501.355127,220709.071850,270731,11958
86,4740768.254354,324028.286440,220131.319652,270285,11988
87,4993054.171728,328589.693080,222348.983934,269680,12219
88,4930985.940382,327366.999697,217989.675619,269535,12073
89,4919483.552346,328928.569766,225618.543149,269432,11969
90,4846286.654536,328225.823108,234492.537558,270638,12081
91,4907037.074092,329257.202211,239078.071531,271738,11732
92,5078424.889015,331214.245090,240659.388006,274779,11648
93,5035013.862046,331598.984401,235641.633350,277217,11389
94,4943015.015026,330063.471242,232920.326239,278823,11189
95,5189122.758040,334556.148315,233668.126831,279292,11271
96,5076789.505096,334040.455406,234634.268360,280122,11196
97,5040506.527985,331262.262320,229180.412874,280666,11059
98,4872156.614174,326709.241606,224489.652229,280321,11140
99,4947344.749636,328160.925237,223736.988264,279846,11306
100,4961527.773994,329444.097156,228958.663233,278191,11316
101,4962531.181064,329910.742656,231350.560199,278930,11241
102,4977722.981998,330348.940210,231396.590122,279954,11261
103,4864112.315507,326556.087267,222008.727180,279412,11381
104,4694487.805777,322663.207331,216892.116056,278568,11479
105,4584126.298334,317773.422791,207775.904720,276615,11567
106,4737329.353936,318756.201485,197834.271694,273622,11664
107,4696770.473718,319397.646492,195994.821364,269567,12011
108,4665895.716831,316017.613767,186606.109373,265898,12331
109,4555305.634366,313690.451295,183621.507858,260566,12718
110,4513016.168509,313162.963880,185625.705145,256016,13102
111,4478726.428576,312307.962497,185277.471660,252586,13600
112,4503442.663242,313362.491493,189953.025258,249191,13772
113,4660538.548363,317458.567192,194189.027432,246764,13999
114,4687074.985214,319211.533624,200389.981885,245609,14247
115,4610790.773836,322273.422216,221964.137295,245289,14216
116,4366218.668567,315616.833107,229225.419188,248960,13823
117,4382005.021874,315986.020592,238833.759838,253267,13616
118,4488740.234648,318841.439523,247335.563927,257594,13082
119,4526148.949049,319784.950280,249830.735103,263467,12580
120,4627484.623570,322340.734040,252628.375549,268396,12093
121,4626174.009675,319752.364915,238176.450793,273656,11688
122,4923739.087443,322916.790064,218302.323966,275880,11474
123,5064307.156462,326213.919242,205639.651939,274712,11605
124,5139233.080905,326611.637886,192971.454448,271816,11778
125,5239189.251617,331815.450206,195805.602562,267465,12214
126,5214313.240323,333273.914831,200527.301471,264056,12582
127,5012173.172153,328061.313297,197590.075728,261473,12830
128,4980318.326010,329108.912200,208590.375842,258824,12974
129,5215928.771533,331655.949567,211952.088961,258037,13011
130,5032848.997010,330612.969847,215905.061954,258044,13111
131,4937216.675713,327921.001342,216982.396106,258625,12987
132,4899182.246860,325534.158576,211590.772720,259539,12865
133,4821421.134095,322754.954886,206927.694837,259527,12940
134,4747898.411728,322907.216553,211702.401700,258142,12978
135,4654224.622660,318903.330045,204936.937480,258137,12955
136,4571368.042712,316702.179676,201444.056798,257447,12953
137,4657252.656406,318497.944965,204477.562093,255402,13176
138,4910399.728737,324277.759924,209089.219035,254793,13236
139,4836847.535549,322924.479103,208847.637809,254343,13142
140,4828871.165338,322616.030841,210019.553353,254314,13271
141,5086474.513957,327172.237568,211061.631899,253330,13391
142,4921362.645070,328704.326478,220584.348601,253909,13202
143,5104038.609157,333213.891986,233559.022970,255719,13126
144,5300399.669990,338233.834850,241658.631289,259038,12943
145,5130345.549949,335832.880316,245664.845973,263831,12608
146,4979598.117759,332731.507235,249040.613798,267831,12278
147,4939280.746286,330926.671662,248254.256703,272596,11838
148,4865810.117971,330902.331499,253697.393602,277162,11410
149,4780279.877785,328066.527025,251812.787531,281779,11175
150,4786938.125187,326758.862706,247222.842400,284767,10972
151,4945543.472844,327946.579793,234883.115828,287056,10824
152,5019006.529444,330388.072878,230819.568722,286694,10711
153,5303078.641245,338667.293826,238963.710046,286265,10730
154,5504985.182565,343372.152777,241285.197277,287231,10761
155,5280323.721788,338609.515522,235207.909711,288725,10496
156,5250508.628877,337110.573307,232357.899021,289125,10630
157,5356075.375595,338278.484665,227294.528428,287966,10594
158,5397362.338847,341435.459193,234000.971053,286927,10601
159,5315373.806570,340142.616506,237990.943911,286844,10698
160,5229176.897218,336731.311193,232993.142795,286619,10719
161,5260294.794468,337841.523836,233372.485015,286434,10816
162,5104155.724291,335505.285284,235434.959713,286896,10706
163,5045613.397072,333553.330753,234783.049790,286648,10903
164,5016157.797567,332823.264868,236507.574210,286294,10860
165,5008662.916465,330511.817947,229901.414366,287076,10700
166,5105833.248037,333119.003456,230408.825849,286756,10774
167,5413544.327700,338396.594532,232017.634394,285373,10868
168,5239860.838136,338965.962634,237034.358694,285307,10988
169,5367282.208660,341425.609419,243782.880072,285967,10803
170,5366873.636507,342730.115332,252470.801586,287131,10708
171,5451349.447664,345081.585625,262836.767604,289387,10559
172,5704190.856869,352635.992261,282024.880655,293137,10301
173,5592180.857683,351137.534315,290710.618857,299272,10045
174,5678042.012229,352138.594878,295546.865226,306545,9620
175,5652651.787833,352556.728771,301131.929874,313868,9071
176,5673711.728282,352525.209519,299453.518594,320828,8725
177,5811429.872418,355036.661465,295741.740906,327122,8274
178,5837340.483660,354368.593817,283000.441930,330943,8016
179,5857516.651787,353840.990285,270749.286850,332722,7967
180,5709675.693872,351409.250960,260088.513300,332274,8059
181,5487449.262030,345178.039543,245566.764880,331551,8024
182,5515085.860949,343024.493176,232458.009853,327923,8297
183,5586883.950070,342796.118806,218715.092718,322432,8622
